Label,Accuracy
heritage designation,0.9714285714285714
director,0.6571428571428571
characters,0.4857142857142857
successful candidate,0.44285714285714284
mountain range,0.5571428571428572
after a work by,0.45714285714285713
occupant,0.4714285714285714
platform,0.8428571428571429
genre,0.3
follows,0.12857142857142856
constellation,0.8857142857142857
religion,0.2857142857142857
nominated for,0.8142857142857143
located in or next to body of water,0.6
military branch,0.5571428571428572
distributor,0.18571428571428572
publisher,0.5428571428571428
mother,0.4
developer,0.44285714285714284
has part,0.07142857142857142
father,0.2857142857142857
place served by transport hub,0.6571428571428571
position held,0.4857142857142857
followed by,0.4
part of,0.15714285714285714
sports season of league or competition,0.5428571428571428
sibling,0.7714285714285715
country of origin,0.3
original network,0.7
field of work,0.24285714285714285
instance of,0.05714285714285714
architect,0.8857142857142857
main subject,0.37142857142857144
instrument,0.6142857142857143
performer,0.4714285714285714
residence,0.21428571428571427
crosses,1.0
manufacturer,0.5857142857142857
occupation,0.37142857142857144
spouse,0.7714285714285715
language of work or name,0.45714285714285713
work location,0.1
position played on team / speciality,0.7428571428571429
contains administrative territorial entity,0.22857142857142856
participant of,0.5571428571428572
taxon rank,0.9142857142857143
member of,0.34285714285714286
military rank,0.7571428571428571
location,0.5285714285714286
participating team,0.2714285714285714
league,0.5714285714285714
country of citizenship,0.17142857142857143
record label,0.6857142857142857
licensed to broadcast to,0.4857142857142857
participant,0.35714285714285715
movement,0.3142857142857143
notable work,0.15714285714285714
voice type,0.8
applies to jurisdiction,0.14285714285714285
located on terrain feature,0.2571428571428571
owned by,0.35714285714285715
located in the administrative territorial entity,0.15714285714285714
original language of film or TV show,0.7142857142857143
composer,0.7
child,0.11428571428571428
screenwriter,0.34285714285714286
headquarters location,0.17142857142857143
member of political party,0.5
head of government,0.5142857142857142
tributary,0.5428571428571428
said to be the same as,0.4142857142857143
winner,0.42857142857142855
operator,0.35714285714285715
mouth of the watercourse,0.37142857142857144
country,0.18571428571428572
location of formation,0.44285714285714284
subsidiary,0.17142857142857143
operating system,0.7428571428571429
competition class,0.6857142857142857
sport,0.37142857142857144
