Label,Accuracy
heritage designation,0.9571428571428572
director,0.8428571428571429
characters,0.6428571428571429
successful candidate,0.7428571428571429
mountain range,0.6714285714285714
after a work by,0.7428571428571429
occupant,0.6714285714285714
platform,0.9142857142857143
genre,0.7571428571428571
follows,0.5428571428571428
constellation,0.9571428571428572
religion,0.5
nominated for,0.8714285714285714
located in or next to body of water,0.7142857142857143
military branch,0.7
distributor,0.5285714285714286
publisher,0.5857142857142857
mother,0.2
developer,0.6142857142857143
has part,0.24285714285714285
father,0.14285714285714285
place served by transport hub,0.6428571428571429
position held,0.6285714285714286
followed by,0.42857142857142855
part of,0.34285714285714286
sports season of league or competition,0.6857142857142857
sibling,0.9285714285714286
country of origin,0.2714285714285714
original network,0.8285714285714286
field of work,0.35714285714285715
instance of,0.22857142857142856
architect,0.7571428571428571
main subject,0.4142857142857143
instrument,0.7428571428571429
performer,0.4714285714285714
residence,0.34285714285714286
crosses,0.9714285714285714
manufacturer,0.6142857142857143
occupation,0.6571428571428571
spouse,0.9285714285714286
language of work or name,0.4714285714285714
work location,0.1
position played on team / speciality,0.9142857142857143
contains administrative territorial entity,0.5
participant of,0.5142857142857142
taxon rank,0.9142857142857143
member of,0.5
military rank,0.9285714285714286
location,0.6
participating team,0.4142857142857143
league,0.6571428571428571
country of citizenship,0.21428571428571427
record label,0.7571428571428571
licensed to broadcast to,0.7142857142857143
participant,0.4
movement,0.4142857142857143
notable work,0.07142857142857142
voice type,0.8142857142857143
applies to jurisdiction,0.35714285714285715
located on terrain feature,0.17142857142857143
owned by,0.2714285714285714
located in the administrative territorial entity,0.34285714285714286
original language of film or TV show,0.6428571428571429
composer,0.6428571428571429
child,0.12857142857142856
screenwriter,0.45714285714285713
headquarters location,0.17142857142857143
member of political party,0.6
head of government,0.5285714285714286
tributary,0.5285714285714286
said to be the same as,0.5142857142857142
winner,0.5285714285714286
operator,0.2714285714285714
mouth of the watercourse,0.38571428571428573
country,0.05714285714285714
location of formation,0.5571428571428572
subsidiary,0.3
operating system,0.5428571428571428
competition class,0.9142857142857143
sport,0.5571428571428572
