Label,Accuracy
heritage designation,0.9142857142857143
director,0.7
characters,0.42857142857142855
successful candidate,0.3142857142857143
mountain range,0.4
after a work by,0.32857142857142857
occupant,0.3142857142857143
platform,0.7714285714285715
genre,0.2857142857142857
follows,0.17142857142857143
constellation,0.9
religion,0.21428571428571427
nominated for,0.7714285714285715
located in or next to body of water,0.5428571428571428
military branch,0.4142857142857143
distributor,0.2857142857142857
publisher,0.4714285714285714
mother,0.2
developer,0.5285714285714286
has part,0.04285714285714286
father,0.17142857142857143
place served by transport hub,0.6571428571428571
position held,0.38571428571428573
followed by,0.2857142857142857
part of,0.1
sports season of league or competition,0.5142857142857142
sibling,0.7428571428571429
country of origin,0.21428571428571427
original network,0.5857142857142857
field of work,0.22857142857142856
instance of,0.04285714285714286
architect,0.7714285714285715
main subject,0.2571428571428571
instrument,0.38571428571428573
performer,0.22857142857142856
residence,0.15714285714285714
crosses,0.9714285714285714
manufacturer,0.6
occupation,0.3142857142857143
spouse,0.8142857142857143
language of work or name,0.4714285714285714
work location,0.18571428571428572
position played on team / speciality,0.7
contains administrative territorial entity,0.24285714285714285
participant of,0.34285714285714286
taxon rank,0.9571428571428572
member of,0.2714285714285714
military rank,0.6285714285714286
location,0.5285714285714286
participating team,0.2857142857142857
league,0.5285714285714286
country of citizenship,0.18571428571428572
record label,0.5714285714285714
licensed to broadcast to,0.35714285714285715
participant,0.11428571428571428
movement,0.2571428571428571
notable work,0.12857142857142856
voice type,0.5
applies to jurisdiction,0.04285714285714286
located on terrain feature,0.12857142857142856
owned by,0.22857142857142856
located in the administrative territorial entity,0.22857142857142856
original language of film or TV show,0.5
composer,0.5714285714285714
child,0.07142857142857142
screenwriter,0.35714285714285715
headquarters location,0.11428571428571428
member of political party,0.5
head of government,0.44285714285714284
tributary,0.5142857142857142
said to be the same as,0.2571428571428571
winner,0.42857142857142855
operator,0.35714285714285715
mouth of the watercourse,0.24285714285714285
country,0.17142857142857143
location of formation,0.38571428571428573
subsidiary,0.1
operating system,0.5714285714285714
competition class,0.5
sport,0.34285714285714286
