Label,Accuracy
heritage designation,0.9857142857142858
director,0.8571428571428571
characters,0.6142857142857143
successful candidate,0.8142857142857143
mountain range,0.8
after a work by,0.7714285714285715
occupant,0.7714285714285715
platform,0.9571428571428572
genre,0.7428571428571429
follows,0.44285714285714284
constellation,0.9428571428571428
religion,0.6
nominated for,0.9
located in or next to body of water,0.6714285714285714
military branch,0.8285714285714286
distributor,0.6857142857142857
publisher,0.6857142857142857
mother,0.21428571428571427
developer,0.6
has part,0.14285714285714285
father,0.3142857142857143
place served by transport hub,0.7428571428571429
position held,0.7571428571428571
followed by,0.44285714285714284
part of,0.34285714285714286
sports season of league or competition,0.7571428571428571
sibling,0.9428571428571428
country of origin,0.37142857142857144
original network,0.8142857142857143
field of work,0.44285714285714284
instance of,0.2714285714285714
architect,0.9285714285714286
main subject,0.4714285714285714
instrument,0.7571428571428571
performer,0.6142857142857143
residence,0.34285714285714286
crosses,0.9857142857142858
manufacturer,0.6
occupation,0.7
spouse,0.9428571428571428
language of work or name,0.5
work location,0.22857142857142856
position played on team / speciality,0.9571428571428572
contains administrative territorial entity,0.6428571428571429
participant of,0.6428571428571429
taxon rank,0.9857142857142858
member of,0.5571428571428572
military rank,0.9714285714285714
location,0.5857142857142857
participating team,0.6
league,0.7714285714285715
country of citizenship,0.2571428571428571
record label,0.7571428571428571
licensed to broadcast to,0.8
participant,0.4857142857142857
movement,0.5571428571428572
notable work,0.22857142857142856
voice type,0.9
applies to jurisdiction,0.4142857142857143
located on terrain feature,0.34285714285714286
owned by,0.3142857142857143
located in the administrative territorial entity,0.35714285714285715
original language of film or TV show,0.8142857142857143
composer,0.6714285714285714
child,0.14285714285714285
screenwriter,0.44285714285714284
headquarters location,0.22857142857142856
member of political party,0.7285714285714285
head of government,0.6428571428571429
tributary,0.4714285714285714
said to be the same as,0.6142857142857143
winner,0.5857142857142857
operator,0.35714285714285715
mouth of the watercourse,0.5428571428571428
country,0.1
location of formation,0.5714285714285714
subsidiary,0.32857142857142857
operating system,0.6142857142857143
competition class,0.9714285714285714
sport,0.5
