Label,Accuracy
performer,0.21428571428571427
located in or next to body of water,0.21428571428571427
country,0.2
field of work,0.1
work location,0.02857142857142857
licensed to broadcast to,0.02857142857142857
mountain range,0.08571428571428572
location of formation,0.02857142857142857
publisher,0.38571428571428573
sport,0.18571428571428572
distributor,0.2
participating team,0.2571428571428571
occupation,0.02857142857142857
heritage designation,0.7714285714285715
platform,0.42857142857142855
located on terrain feature,0.1
constellation,0.9142857142857143
language of work or name,0.5428571428571428
after a work by,0.02857142857142857
developer,0.42857142857142855
instance of,0.02857142857142857
mother,0.18571428571428572
child,0.08571428571428572
manufacturer,0.2
occupant,0.07142857142857142
located in the administrative territorial entity,0.5
follows,0.08571428571428572
taxon rank,0.21428571428571427
subsidiary,0.04285714285714286
competition class,0.02857142857142857
spouse,0.2
said to be the same as,0.014285714285714285
head of government,0.18571428571428572
tributary,0.24285714285714285
applies to jurisdiction,0.014285714285714285
screenwriter,0.1
crosses,0.1
winner,0.2571428571428571
genre,0.15714285714285714
main subject,0.15714285714285714
sports season of league or competition,0.0
father,0.2714285714285714
composer,0.5714285714285714
member of political party,0.45714285714285713
original network,0.12857142857142856
residence,0.04285714285714286
voice type,0.34285714285714286
contains administrative territorial entity,0.0
has part,0.08571428571428572
sibling,0.5
position played on team / speciality,0.21428571428571427
director,0.4142857142857143
member of,0.17142857142857143
record label,0.6571428571428571
position held,0.0
league,0.38571428571428573
operating system,0.7857142857142857
part of,0.17142857142857143
successful candidate,0.02857142857142857
notable work,0.04285714285714286
place served by transport hub,0.07142857142857142
movement,0.02857142857142857
owned by,0.3142857142857143
followed by,0.02857142857142857
original language of film or TV show,0.12857142857142856
location,0.18571428571428572
military rank,0.24285714285714285
characters,0.37142857142857144
operator,0.02857142857142857
headquarters location,0.14285714285714285
architect,0.24285714285714285
country of origin,0.12857142857142856
instrument,0.2571428571428571
participant of,0.04285714285714286
religion,0.14285714285714285
country of citizenship,0.21428571428571427
nominated for,0.8
mouth of the watercourse,0.04285714285714286
participant,0.17142857142857143
military branch,0.18571428571428572
