Label,Accuracy
performer,0.4714285714285714
located in or next to body of water,0.8142857142857143
country,0.18571428571428572
field of work,0.5428571428571428
work location,0.21428571428571427
licensed to broadcast to,0.8714285714285714
mountain range,0.8428571428571429
location of formation,0.21428571428571427
publisher,0.6
sport,0.5714285714285714
distributor,0.7142857142857143
participating team,0.5428571428571428
occupation,0.6428571428571429
heritage designation,0.9
platform,0.9428571428571428
located on terrain feature,0.3142857142857143
constellation,0.9857142857142858
language of work or name,0.6714285714285714
after a work by,0.18571428571428572
developer,0.6428571428571429
instance of,0.2
mother,0.17142857142857143
child,0.12857142857142856
manufacturer,0.6714285714285714
occupant,0.3142857142857143
located in the administrative territorial entity,0.5714285714285714
follows,0.5857142857142857
taxon rank,0.9571428571428572
subsidiary,0.11428571428571428
competition class,0.8857142857142857
spouse,0.7714285714285715
said to be the same as,0.6571428571428571
head of government,0.5142857142857142
tributary,0.6285714285714286
applies to jurisdiction,0.11428571428571428
screenwriter,0.5571428571428572
crosses,0.9142857142857143
winner,0.5142857142857142
genre,0.7
main subject,0.44285714285714284
sports season of league or competition,0.7142857142857143
father,0.4
composer,0.7142857142857143
member of political party,0.7428571428571429
original network,0.9
residence,0.15714285714285714
voice type,0.8142857142857143
contains administrative territorial entity,0.08571428571428572
has part,0.17142857142857143
sibling,0.8857142857142857
position played on team / speciality,0.9714285714285714
director,0.8714285714285714
member of,0.5
record label,0.9142857142857143
position held,0.7428571428571429
league,0.7714285714285715
operating system,0.6714285714285714
part of,0.32857142857142857
successful candidate,0.5428571428571428
notable work,0.4714285714285714
place served by transport hub,0.38571428571428573
movement,0.34285714285714286
owned by,0.45714285714285713
followed by,0.21428571428571427
original language of film or TV show,0.6285714285714286
location,0.6571428571428571
military rank,0.8428571428571429
characters,0.7428571428571429
operator,0.42857142857142855
headquarters location,0.2857142857142857
architect,0.9285714285714286
country of origin,0.35714285714285715
instrument,0.7571428571428571
participant of,0.45714285714285713
religion,0.6857142857142857
country of citizenship,0.4142857142857143
nominated for,0.8714285714285714
mouth of the watercourse,0.38571428571428573
participant,0.38571428571428573
military branch,0.7857142857142857
